ID_ESCOLA;REDE;VL_OBSERVADO_2023
11024666;Municipal;5.0
11024682;Estadual;
11024828;Municipal;
11024917;Municipal;
11024968;Estadual;5.3
11025077;Municipal;
11025115;Municipal;
11025280;Municipal;4.3
11025310;Municipal;3.6
11025352;Municipal;4.1
11025620;Estadual;4.3
11025638;Estadual;5.0
11006773;Estadual;4.6
11006846;Estadual;5.6
11006854;Municipal;4.1
11006889;Estadual;4.7
11006900;Municipal;4.6
11007079;Municipal;
11007168;Estadual;5.1
11007249;Municipal;4.9
11007281;Estadual;4.3
11007346;Municipal;4.8
11007443;Municipal;5.1
11007451;Municipal;
11007508;Municipal;
11007524;Estadual;5.7
11007605;Municipal;
11007702;Municipal;
11007737;Municipal;
11007834;Municipal;5.6
11007885;Estadual;
11007893;Estadual;
11041439;Municipal;
11041986;Municipal;5.9
11048620;Estadual;4.1
11050233;Estadual;
11034050;Estadual;
11034270;Estadual;4.9
11034440;Estadual;5.0
11025999;Municipal;
11026014;Estadual;4.8
11026073;Estadual;5.2
11026197;Estadual;4.4
11026235;Municipal;3.9
11026278;Estadual;
11026294;Municipal;3.8
11026367;Municipal;3.7
11026464;Estadual;4.7
11026499;Estadual;5.1
11026545;Estadual;5.5
11026626;Estadual;4.4
11026685;Municipal;4.7
11026758;Estadual;5.1
11026766;Municipal;4.5
11026812;Municipal;4.7
11026936;Municipal;4.2
11026960;Municipal;4.9
11027088;Municipal;4.2
11027312;Estadual;5.0
11027320;Estadual;5.5
11027347;Estadual;
11027401;Estadual;3.9
11041269;Municipal;
11043342;Municipal;4.1
11034513;Municipal;
11034696;Estadual;5.6
11034777;Estadual;4.5
11034882;Municipal;
11034955;Municipal;
11034998;Estadual;
11035056;Estadual;4.9
11035110;Municipal;
11035188;Municipal;4.4
11035277;Municipal;5.6
11035404;Municipal;
11035420;Municipal;
11035951;Estadual;5.0
11035960;Estadual;5.3
11036125;Estadual;4.2
11036397;Estadual;4.6
11036486;Estadual;
11036516;Municipal;
11036575;Estadual;5.5
11036648;Municipal;
11005769;Estadual;4.8
11005823;Estadual;4.8
11041420;Municipal;
11041447;Municipal;
11045507;Municipal;
11047216;Estadual;4.8
11027487;Municipal;4.5
11027533;Municipal;5.1
11027690;Estadual;5.0
11027754;Estadual;
11027762;Estadual;5.5
11027878;Estadual;5.0
11027886;Municipal;4.6
11028335;Municipal;4.3
11028394;Estadual;
11028424;Estadual;
11038586;Municipal;
11005939;Estadual;5.3
11005947;Municipal;
11005980;Estadual;3.8
11006048;Estadual;
11006412;Estadual;
11006420;Estadual;5.2
11006617;Estadual;4.6
11006633;Estadual;3.8
11006641;Estadual;
11006684;Estadual;5.1
11089806;Estadual;4.8
11011491;Estadual;
11011661;Estadual;4.1
11011998;Municipal;
11012099;Estadual;4.9
11012110;Municipal;
11012145;Estadual;5.0
11012170;Municipal;4.4
11012269;Municipal;4.8
11012277;Estadual;5.2
11012323;Municipal;
11012382;Estadual;4.6
11012447;Estadual;5.0
11012579;Estadual;4.2
11012684;Estadual;4.6
11012994;Estadual;4.5
11043709;Municipal;
11046260;Municipal;4.4
11046279;Municipal;
11013273;Estadual;5.1
11013389;Estadual;4.5
11013494;Estadual;4.8
11013508;Municipal;4.8
11013591;Estadual;4.2
11013907;Estadual;4.0
11014156;Estadual;5.1
11014172;Estadual;5.0
11014300;Estadual;4.1
11014431;Estadual;5.3
11014555;Estadual;4.2
11014636;Estadual;4.8
11014806;Estadual;4.7
11014830;Estadual;4.6
11015144;Estadual;4.7
11015411;Estadual;
11015500;Estadual;4.4
11015608;Estadual;4.5
11015616;Estadual;4.5
11015624;Estadual;5.0
11015632;Estadual;5.1
11015667;Estadual;5.0
11015683;Estadual;5.1
11016094;Estadual;5.0
11043849;Municipal;
11044853;Municipal;5.0
11045663;Municipal;5.3
11045698;Municipal;4.6
11008008;Estadual;4.2
11008598;Municipal;
11009047;Municipal;
11009080;Estadual;4.0
11043172;Municipal;
11043180;Municipal;
11043229;Municipal;
11047631;Municipal;
11047704;Municipal;
11049812;Estadual;3.9
11050870;Estadual;3.4
11054204;Municipal;
11021918;Municipal;5.4
11022108;Municipal;5.6
11022116;Municipal;
11022205;Estadual;5.6
11022221;Estadual;
11022230;Estadual;6.4
11038624;Municipal;5.6
11059800;Municipal;5.6
11016299;Municipal;
11016507;Estadual;4.7
11016558;Municipal;
11016817;Municipal;
11016973;Estadual;
11017104;Municipal;
11017112;Municipal;
11017201;Estadual;4.9
11017422;Estadual;5.0
11017430;Estadual;4.8
11017775;Estadual;5.9
11017791;Estadual;
11031549;Estadual;5.8
11031700;Estadual;4.9
11032260;Estadual;5.5
11032510;Estadual;4.2
11033070;Estadual;3.3
11037334;Estadual;5.0
11042621;Municipal;
11048026;Municipal;
11050268;Municipal;5.1
11000260;Estadual;6.1
11000317;Estadual;5.2
11000368;Municipal;
11000376;Estadual;5.0
11000384;Estadual;
11000457;Estadual;4.2
11000465;Municipal;
11000554;Estadual;4.6
11000597;Estadual;4.8
11000678;Estadual;
11000708;Estadual;4.3
11000848;Estadual;4.5
11000856;Estadual;4.8
11000864;Municipal;3.0
11000910;Estadual;
11000937;Estadual;4.4
11000970;Estadual;4.9
11001003;Municipal;
11001011;Municipal;3.9
11001046;Estadual;5.2
11001119;Estadual;4.6
11001135;Estadual;5.2
11001143;Estadual;4.4
11001160;Estadual;4.4
11001178;Estadual;5.0
11001186;Municipal;3.9
11001240;Estadual;4.0
11001275;Municipal;
11001283;Estadual;5.0
11001305;Estadual;4.6
11001364;Estadual;3.7
11001410;Estadual;4.9
11001496;Estadual;4.0
11001526;Estadual;4.4
11001550;Estadual;4.8
11001640;Estadual;5.4
11001810;Estadual;4.5
11001844;Estadual;4.5
11001887;Estadual;4.8
11001909;Estadual;4.2
11001968;Municipal;
11001992;Estadual;4.7
11002000;Estadual;4.0
11002018;Estadual;3.7
11002123;Estadual;4.2
11002166;Estadual;
11002255;Estadual;4.3
11002301;Estadual;4.6
11002328;Estadual;4.7
11002441;Estadual;
11002468;Estadual;5.7
11002476;Estadual;3.9
11002506;Estadual;5.1
11002514;Estadual;4.3
11002522;Estadual;4.5
11002549;Estadual;
11003065;Estadual;
11003138;Municipal;
11003162;Estadual;5.0
11003197;Estadual;4.4
11003200;Estadual;5.7
11003308;Municipal;
11003324;Municipal;3.4
11003413;Estadual;4.4
11003812;Estadual;3.7
11037652;Municipal;2.3
11037903;Estadual;
11038063;Estadual;4.5
11040629;Estadual;4.0
11040793;Estadual;
11045809;Municipal;3.2
11045825;Municipal;
11045892;Municipal;
11046660;Municipal;
11046937;Estadual;5.2
11048450;Estadual;
11048670;Estadual;3.5
11049430;Estadual;4.6
11050349;Estadual;4.0
11050780;Estadual;5.0
11104805;Estadual;
11017872;Municipal;
11017988;Estadual;5.1
11018089;Estadual;5.6
11018143;Municipal;
11018216;Estadual;4.8
11018267;Estadual;5.3
11018810;Estadual;4.8
11018950;Estadual;5.2
11046430;Municipal;
11048441;Estadual;5.0
11009306;Estadual;4.2
11028750;Estadual;4.7
11028840;Municipal;
11029056;Estadual;5.1
11029064;Municipal;4.6
11029099;Estadual;
11029110;Estadual;4.6
11029161;Estadual;5.1
11029170;Estadual;5.0
11029307;Estadual;5.3
11029412;Estadual;4.4
11029439;Estadual;
11029455;Estadual;5.7
11029480;Estadual;5.2
11045051;Municipal;5.6
11029749;Municipal;
11029951;Estadual;5.0
11039132;Municipal;5.1
11042419;Municipal;
11033347;Municipal;
11033363;Estadual;5.0
11033428;Estadual;5.6
11033487;Estadual;4.4
11033533;Municipal;
11033576;Estadual;5.9
11033649;Estadual;4.7
11033657;Municipal;
11033673;Municipal;
11033681;Municipal;
11033762;Municipal;
11033797;Estadual;4.9
11033819;Estadual;3.9
11033827;Estadual;5.0
11033835;Estadual;5.2
11039760;Municipal;4.5
11047224;Estadual;5.1
11047615;Municipal;
11060808;Municipal;
11106867;Estadual;
11022361;Municipal;5.6
11022370;Municipal;4.5
11022388;Municipal;5.2
11022450;Estadual;5.1
11022469;Municipal;4.9
11022760;Municipal;
11022809;Municipal;5.6
11022841;Municipal;4.9
11022949;Municipal;5.3
11022981;Estadual;5.3
11042508;Municipal;
11074809;Municipal;5.1
11003979;Estadual;4.8
11003987;Municipal;
11004118;Municipal;3.5
11004240;Municipal;
11004274;Estadual;4.8
11040327;Municipal;4.4
11048247;Estadual;4.2
11049227;Municipal;
11049855;Estadual;3.4
11000589;Municipal;
11023309;Municipal;3.9
11023341;Municipal;
11023430;Estadual;5.2
11023449;Municipal;
11023490;Municipal;
11023660;Estadual;4.6
11023678;Estadual;4.8
11057807;Municipal;
11024437;Estadual;5.5
11024690;Municipal;5.5
11024712;Municipal;4.2
11025050;Municipal;
11025492;Municipal;4.6
11031840;Municipal;
11040947;Municipal;
11009888;Estadual;4.4
11009918;Municipal;4.3
11009950;Municipal;4.6
11009977;Municipal;
11010037;Municipal;
11010126;Municipal;4.0
11044179;Municipal;
11048140;Estadual;5.3
11004428;Estadual;
11039582;Estadual;5.4
11041641;Municipal;
11042028;Estadual;4.5
11044233;Municipal;
11044292;Municipal;
11044306;Municipal;
11045914;Estadual;4.5
11062800;Municipal;
11030003;Estadual;4.9
11030038;Municipal;
11030372;Estadual;5.0
11048387;Municipal;
11010290;Estadual;4.3
11041463;Municipal;
11043067;Municipal;4.5
11004347;Estadual;4.5
11004452;Municipal;
11004738;Municipal;
11037172;Municipal;3.6
11076801;Estadual;4.5
11004860;Municipal;
11004894;Estadual;3.7
11005041;Estadual;4.4
11005050;Estadual;4.6
11045043;Municipal;
11046953;Estadual;
11030666;Estadual;4.4
11030801;Municipal;
11030895;Municipal;
11032065;Municipal;4.2
11033290;Municipal;
11033371;Estadual;
11043792;Municipal;
11095806;Estadual;5.3
11106859;Estadual;4.2
11009136;Municipal;4.2
11009152;Estadual;4.1
11009543;Municipal;4.9
11038780;Municipal;
11039710;Municipal;
11053402;Municipal;4.3
11019034;Municipal;
11019115;Estadual;4.1
11019140;Estadual;4.8
11019190;Municipal;3.6
11019212;Municipal;
11019581;Municipal;
11045647;Municipal;
11045655;Municipal;
11005360;Estadual;3.9
11040882;Estadual;
11031034;Municipal;
11031298;Estadual;5.5
11031352;Municipal;
11042630;Municipal;4.6
11019727;Municipal;4.9
11019743;Estadual;4.8
11019778;Municipal;
11019948;Estadual;
11010665;Estadual;4.9
11010932;Municipal;3.3
11010940;Estadual;4.4
11011106;Municipal;4.9
11038144;Municipal;4.4
11038160;Municipal;
11043210;Municipal;4.7
11046082;Municipal;
11016469;Municipal;5.9
11017120;Estadual;4.5
11017333;Municipal;
11042664;Municipal;4.3
11043385;Municipal;
11048964;Municipal;
11031689;Estadual;4.9
11043610;Municipal;4.1
11035080;Estadual;4.1
11031913;Estadual;4.9
11032189;Estadual;5.0
11031964;Estadual;4.0
11032359;Estadual;4.9
11043580;Municipal;
11043598;Municipal;
11005475;Estadual;5.1
11005742;Municipal;4.5
11042451;Municipal;
11046619;Municipal;5.4
11046961;Estadual;4.8
11047437;Municipal;6.0
11050608;Municipal;
11022884;Estadual;4.8
11024003;Municipal;
11024097;Estadual;5.1
11024135;Municipal;
11024224;Municipal;
11016850;Municipal;
11017384;Estadual;5.1
11017660;Municipal;
11041196;Municipal;4.1
11020296;Municipal;
11020326;Estadual;4.9
11040238;Municipal;4.1
11041340;Municipal;4.2
11041692;Municipal;4.4
11041722;Municipal;
11047240;Municipal;4.6
11020482;Municipal;
11020490;Municipal;4.5
11020504;Estadual;4.9
11020610;Municipal;4.1
11020822;Municipal;
11020873;Municipal;
11023473;Municipal;5.2
11046449;Municipal;4.5
11008105;Estadual;4.5
11008938;Municipal;
11021217;Municipal;4.7
11021403;Estadual;4.9
11038420;Municipal;
11043903;Municipal;4.0
12008966;Municipal;4.3
12009156;Municipal;
12009164;Estadual;
12009229;Estadual;4.7
12018422;Estadual;
12128236;Estadual;
12015946;Estadual;4.0
12016250;Estadual;4.8
12016284;Estadual;
12016365;Estadual;
12017027;Estadual;5.8
12026948;Estadual;
12009369;Estadual;3.4
12009466;Municipal;
12009555;Estadual;
12009679;Estadual;3.6
12020680;Estadual;
12026115;Estadual;
12009725;Estadual;4.1
12009881;Municipal;
12023396;Estadual;3.0
12030899;Estadual;3.9
12000094;Estadual;4.7
12000108;Estadual;4.6
12000159;Estadual;4.6
12000167;Estadual;4.5
12000213;Estadual;
12000248;Municipal;4.9
12000280;Estadual;4.2
12000370;Estadual;3.1
12000442;Estadual;4.5
12000469;Estadual;
12000558;Municipal;
12000590;Municipal;
12000663;Estadual;5.5
12000736;Estadual;4.6
12000906;Estadual;
12000914;Estadual;4.3
12000930;Estadual;5.0
12000973;Estadual;4.2
12001007;Municipal;
12001015;Estadual;4.5
12001104;Estadual;4.6
12001139;Estadual;3.7
12001147;Municipal;
12001163;Estadual;4.6
12001171;Municipal;4.4
12001180;Estadual;4.4
12001228;Estadual;4.4
12001260;Estadual;6.1
12001279;Estadual;4.5
12001333;Estadual;4.1
12001341;Municipal;4.3
12001392;Municipal;
12001422;Estadual;
12001457;Estadual;6.2
12001554;Estadual;3.9
12001597;Municipal;
12001627;Estadual;4.7
12021962;Estadual;5.0
12027286;Municipal;
12027901;Municipal;
12029718;Estadual;3.5
12033537;Estadual;6.4
12017060;Estadual;4.1
12017094;Estadual;5.4
12017108;Estadual;5.3
12028622;Municipal;
12003930;Estadual;4.4
12004120;Estadual;
12004154;Estadual;
12004170;Estadual;5.6
12004227;Municipal;
12005037;Estadual;4.8
12005126;Municipal;4.9
12005240;Estadual;
12030155;Estadual;4.6
12001791;Estadual;4.5
12001805;Estadual;4.2
12001945;Estadual;4.5
12001953;Municipal;
12001961;Estadual;4.2
12002046;Estadual;
12002127;Municipal;
12002267;Municipal;
12002399;Municipal;
12006580;Municipal;4.9
12006688;Municipal;4.0
12006874;Municipal;
12006920;Estadual;4.7
12002410;Municipal;2.7
12002461;Municipal;
12002674;Municipal;
12002763;Municipal;
12002771;Municipal;3.7
12002828;Municipal;
12002887;Municipal;3.8
12002925;Municipal;
12002950;Municipal;
12018902;Municipal;
12021130;Municipal;
12023027;Municipal;3.1
12026310;Municipal;
12026387;Municipal;3.5
12027081;Municipal;4.3
12010189;Estadual;5.4
12010340;Municipal;3.5
12010391;Estadual;
12010588;Estadual;4.7
12010626;Municipal;
12010731;Estadual;5.1
12019135;Estadual;
12023760;Municipal;4.4
12002984;Municipal;
12003000;Municipal;
12003018;Municipal;3.0
12003050;Estadual;3.7
12003190;Municipal;
12003239;Municipal;
12003522;Municipal;
12020400;Municipal;3.3
12011070;Estadual;4.3
12011142;Estadual;
12011150;Estadual;4.7
12011169;Estadual;
12011320;Estadual;4.4
12011401;Estadual;5.7
12011410;Federal;4.8
12011428;Estadual;5.7
12011517;Estadual;
12011550;Estadual;5.5
12011584;Estadual;4.7
12011665;Estadual;
12011681;Municipal;
12011703;Estadual;4.8
12011860;Estadual;
12011932;Estadual;5.1
12012017;Estadual;
12012025;Estadual;4.8
12012041;Estadual;4.1
12012050;Estadual;5.5
12012076;Estadual;4.2
12012106;Estadual;
12012130;Estadual;5.3
12012211;Municipal;
12012360;Estadual;4.5
12012416;Estadual;
12012505;Estadual;
12012564;Estadual;
12012580;Estadual;
12012750;Estadual;4.6
12012823;Estadual;
12012858;Estadual;
12013013;Estadual;5.4
12013021;Municipal;
12013161;Estadual;3.7
12013242;Estadual;4.8
12013293;Estadual;5.5
12013340;Estadual;
12013374;Estadual;4.4
12013404;Estadual;4.4
12013471;Estadual;5.0
12013510;Estadual;4.8
12013579;Estadual;
12013595;Estadual;4.0
12013633;Estadual;4.1
12013684;Estadual;
12013889;Estadual;5.0
12014001;Estadual;4.4
12014052;Estadual;4.2
12014060;Estadual;4.8
12014389;Estadual;5.7
12014508;Municipal;
12015172;Estadual;4.6
12020192;Estadual;4.8
12021245;Estadual;3.6
12021717;Estadual;3.9
12027359;Estadual;4.3
12027863;Municipal;
12027880;Municipal;
12028754;Estadual;6.0
12029491;Estadual;4.4
12032115;Estadual;
12032166;Estadual;
12032468;Estadual;5.0
12033359;Estadual;6.6
12033367;Estadual;6.0
12033847;Estadual;
12044636;Estadual;4.3
12049220;Estadual;4.0
12091251;Estadual;5.2
12091260;Estadual;
12003590;Estadual;4.1
12003638;Estadual;3.4
12003743;Estadual;
12003760;Estadual;
12003867;Estadual;
12022004;Estadual;
12027120;Municipal;4.8
12027650;Estadual;
12028479;Estadual;3.7
12007021;Municipal;2.7
12009997;Estadual;
12011274;Estadual;
12014400;Estadual;
12014532;Municipal;
12014591;Estadual;5.2
12014605;Estadual;5.3
12014877;Estadual;5.4
12014915;Estadual;
12015008;Estadual;
12007412;Estadual;
12007587;Municipal;
12007625;Estadual;4.9
12007684;Municipal;
12007757;Estadual;5.1
12008176;Municipal;
12008389;Estadual;4.3
12008877;Municipal;
12025836;Estadual;
12025941;Municipal;
12029408;Municipal;
12032107;Municipal;
12005398;Estadual;3.3
12005401;Municipal;3.9
12005657;Municipal;
12005681;Estadual;4.6
12005770;Estadual;4.7
12005860;Estadual;5.8
12006173;Estadual;4.9
12006190;Estadual;4.7
12006300;Estadual;4.9
12031755;Estadual;
12017469;Estadual;4.7
12017540;Estadual;5.1
12017876;Estadual;4.1
12018082;Municipal;
12018163;Estadual;
12014036;Estadual;
12014125;Estadual;
12015326;Estadual;3.7
12015334;Estadual;3.3
12015342;Estadual;3.9
12027200;Estadual;
13012533;Estadual;4.4
13012568;Estadual;3.6
13012827;Municipal;
13012843;Municipal;
13012851;Municipal;3.9
13012967;Municipal;4.2
13066242;Municipal;
13069950;Municipal;3.1
13004298;Municipal;
13004310;Municipal;
13004425;Municipal;
13083309;Estadual;4.8
13099361;Estadual;
13100076;Municipal;2.1
13102400;Municipal;2.3
13103431;Estadual;2.6
13238213;Estadual;
13014293;Estadual;5.6
13014307;Estadual;4.9
13014447;Municipal;
13014684;Municipal;
13014781;Estadual;
13014790;Estadual;
13014803;Estadual;
13089340;Municipal;3.7
13104705;Municipal;3.5
13220209;Estadual;
13014846;Estadual;
13014862;Municipal;3.7
13014994;Municipal;4.4
13015109;Municipal;3.2
13015273;Estadual;5.4
13015320;Municipal;4.1
13070703;Municipal;4.4
13048368;Municipal;
13048520;Municipal;
13054996;Municipal;
13059203;Estadual;5.2
13070720;Municipal;3.8
13083112;Municipal;3.5
13107763;Municipal;3.5
13004840;Estadual;3.1
13004948;Estadual;4.2
13004956;Estadual;
13004964;Estadual;
13019007;Estadual;3.9
13019082;Municipal;
13019104;Municipal;
13019163;Municipal;3.7
13019252;Municipal;3.2
13019562;Municipal;3.2
13019597;Municipal;
13019627;Municipal;2.7
13019813;Municipal;2.7
13019848;Municipal;
13019864;Municipal;3.0
13019899;Municipal;3.3
13019961;Municipal;4.1
13019996;Municipal;3.8
13059548;Estadual;4.4
13066889;Municipal;
13066927;Municipal;
13067222;Municipal;3.5
13070266;Municipal;2.7
13100033;Municipal;3.5
13000136;Estadual;4.8
13000403;Estadual;4.0
13000411;Estadual;4.8
