ID_ESCOLA;REDE;VL_OBSERVADO_2023
11024372;Municipal;
11024666;Municipal;
11024682;Estadual;6.7
11024828;Municipal;4.0
11024968;Estadual;
11025077;Municipal;
11025280;Municipal;
11025310;Municipal;3.8
11025352;Municipal;
11025620;Estadual;
11025638;Estadual;
11025654;Municipal;6.0
11047461;Municipal;4.5
11050594;Municipal;6.1
11006773;Estadual;
11006846;Estadual;6.1
11006854;Municipal;4.5
11006889;Estadual;
11006900;Municipal;5.6
11007079;Municipal;5.2
11007168;Estadual;
11007222;Municipal;5.6
11007249;Municipal;6.1
11007257;Municipal;5.7
11007281;Estadual;
11007346;Municipal;5.9
11007443;Municipal;5.7
11007451;Municipal;5.1
11007508;Municipal;5.5
11007524;Estadual;
11007605;Municipal;4.8
11007702;Municipal;4.4
11007710;Municipal;4.6
11007737;Municipal;4.5
11007834;Municipal;5.4
11007893;Estadual;
11007907;Municipal;6.7
11007958;Municipal;
11041439;Municipal;5.3
11041986;Municipal;
11048620;Estadual;
11050772;Municipal;
11034041;Municipal;
11034050;Estadual;
11034173;Municipal;
11034270;Estadual;
11034440;Estadual;
11039841;Municipal;5.8
11025999;Municipal;
11026014;Estadual;6.4
11026073;Estadual;
11026235;Municipal;4.7
11026294;Municipal;5.6
11026367;Municipal;4.3
11026464;Estadual;6.1
11026499;Estadual;5.7
11026545;Estadual;
11026626;Estadual;5.2
11026685;Municipal;5.4
11026758;Estadual;5.9
11026766;Municipal;5.4
11026812;Municipal;5.1
11026839;Municipal;4.5
11026936;Municipal;
11026960;Municipal;
11027002;Municipal;5.5
11027088;Municipal;5.4
11027312;Estadual;6.4
11027320;Estadual;6.3
11027347;Estadual;
11027380;Municipal;6.0
11027398;Municipal;5.8
11027401;Estadual;
11043342;Municipal;4.7
11051205;Municipal;4.9
11052600;Municipal;5.7
11034513;Municipal;
11034610;Estadual;
11034696;Estadual;6.5
11034750;Municipal;5.5
11034777;Estadual;
11034955;Municipal;5.3
11035013;Municipal;
11035072;Municipal;6.0
11042346;Municipal;5.3
11035110;Municipal;6.5
11035188;Municipal;6.2
11035277;Municipal;
11035404;Municipal;
11035420;Municipal;6.8
11035544;Municipal;6.9
11035790;Municipal;6.4
11035951;Estadual;
11035960;Estadual;
11036125;Estadual;
11036397;Estadual;
11036516;Municipal;
11036575;Estadual;
11036648;Municipal;4.7
11038519;Municipal;5.8
11005610;Municipal;
11005769;Estadual;
11005823;Estadual;
11005858;Municipal;
11041420;Municipal;
11041447;Municipal;4.3
11045507;Municipal;4.3
11048654;Municipal;4.4
11027487;Municipal;5.1
11027533;Municipal;6.3
11027690;Estadual;
11027754;Estadual;
11027762;Estadual;
11027878;Estadual;6.1
11027886;Municipal;
11028335;Municipal;5.2
11028394;Estadual;
11038586;Municipal;6.3
11044527;Municipal;6.2
11046872;Municipal;
11106816;Estadual;5.7
11005890;Estadual;
11005939;Estadual;
11005947;Municipal;5.2
11005971;Municipal;4.5
11005980;Estadual;
11006030;Municipal;4.4
11006048;Estadual;
11006102;Municipal;
11006129;Estadual;
11006145;Municipal;5.0
11006196;Municipal;
11006358;Estadual;5.9
11006420;Estadual;5.3
11006498;Municipal;4.7
11006528;Municipal;3.8
11006536;Municipal;5.2
11006617;Estadual;
11006684;Estadual;
11043458;Municipal;3.7
11011203;Municipal;5.6
11011270;Municipal;6.5
11011335;Municipal;6.8
11011661;Estadual;
11011998;Municipal;5.7
11012099;Estadual;
11012110;Municipal;
11012145;Estadual;6.0
11012170;Municipal;
11012269;Municipal;6.0
11012277;Estadual;4.7
11012323;Municipal;5.8
11012382;Estadual;
11012447;Estadual;
11012579;Estadual;
11012684;Estadual;
11012994;Estadual;
11043695;Municipal;
11043709;Municipal;5.4
11046260;Municipal;5.7
11046279;Municipal;5.9
11046910;Municipal;4.9
11013273;Estadual;4.8
11013311;Estadual;6.3
11013389;Estadual;
11013419;Municipal;6.2
11013494;Estadual;5.5
11013508;Municipal;
11013591;Estadual;5.1
11013818;Estadual;6.2
11013907;Estadual;
11014075;Estadual;6.3
11014148;Municipal;7.2
11014156;Estadual;
11014172;Estadual;4.7
11014300;Estadual;5.2
11014431;Estadual;
11014555;Estadual;
11014636;Estadual;5.1
