ID_ESCOLA;REDE;VL_OBSERVADO_2023
11024682;Estadual;4.0
11024968;Estadual;5.4
11025638;Estadual;4.9
11006773;Estadual;2.4
11006889;Estadual;3.8
11007168;Estadual;4.3
11007656;Privada;
11007885;Estadual;5.1
11007893;Estadual;4.6
11048620;Estadual;3.8
11050233;Estadual;4.1
11108800;Federal;
11034440;Estadual;4.1
11025670;Privada;
11026073;Estadual;4.9
11026197;Estadual;3.1
11026278;Estadual;3.5
11027290;Privada;
11027320;Estadual;4.4
11027347;Estadual;4.0
11027355;Privada;
11027401;Estadual;3.9
11046740;Estadual;4.7
11049723;Privada;
11109815;Federal;5.4
11034998;Estadual;4.1
11035951;Estadual;4.5
11035960;Estadual;4.2
11037016;Federal;5.1
11036125;Estadual;4.1
11036397;Estadual;4.4
11036486;Estadual;4.0
11005823;Estadual;4.1
11047216;Estadual;4.0
11027754;Estadual;4.2
11028424;Estadual;5.0
11005939;Estadual;4.5
11006420;Estadual;4.1
11006617;Estadual;3.8
11006633;Estadual;3.2
11006641;Estadual;4.1
11006706;Privada;
11049960;Federal;
11089806;Estadual;4.2
11011491;Estadual;4.5
11011661;Estadual;4.3
11012099;Estadual;
11012145;Estadual;4.0
11012277;Estadual;4.3
11012447;Estadual;3.5
11012579;Estadual;3.6
11012684;Estadual;4.0
11012994;Estadual;4.0
11040076;Privada;
11050322;Federal;
11013141;Privada;
11013737;Privada;
11014156;Estadual;4.0
11014300;Estadual;
11014431;Estadual;4.3
11015500;Estadual;4.2
11015608;Estadual;4.3
11015616;Estadual;3.6
11015624;Estadual;3.9
11015632;Estadual;4.5
11015667;Estadual;4.9
11015683;Estadual;3.5
11015896;Privada;
11016094;Estadual;
11047208;Estadual;4.5
11049634;Estadual;5.8
11106808;Federal;
11008008;Estadual;
11009080;Estadual;3.9
11048018;Estadual;3.8
11049812;Estadual;3.9
11050870;Estadual;3.1
11022221;Estadual;4.7
11016507;Estadual;
11017422;Estadual;4.4
11017775;Estadual;4.9
11017791;Estadual;4.0
11032260;Estadual;5.1
11032510;Estadual;3.3
11033070;Estadual;3.4
11048956;Estadual;
11000058;Privada;
11000198;Privada;
11000244;Privada;
11000252;Privada;
11000260;Estadual;4.9
11000350;Privada;
11000384;Estadual;3.7
11000457;Estadual;3.5
11000554;Estadual;3.8
11000597;Estadual;
11000678;Estadual;4.7
11000708;Estadual;3.3
11000856;Estadual;4.0
11000880;Privada;
11000937;Estadual;
11001046;Estadual;3.4
11001119;Estadual;4.1
11001135;Estadual;4.4
11001143;Estadual;3.3
11001283;Estadual;3.3
11001305;Estadual;4.4
11001410;Estadual;5.1
11001496;Estadual;2.9
11001550;Estadual;4.2
11001640;Estadual;4.3
11002018;Estadual;3.3
11002123;Estadual;3.8
11002255;Estadual;
11002468;Estadual;5.1
11002476;Estadual;4.0
11002484;Estadual;4.7
11002506;Estadual;4.0
11002514;Estadual;3.6
11002522;Estadual;3.7
11002549;Estadual;3.6
11003065;Estadual;
11003081;Privada;
11003413;Estadual;3.6
11003812;Estadual;3.2
11037474;Privada;
11038063;Estadual;3.6
11040629;Estadual;3.3
11040688;Privada;
11040793;Estadual;3.9
11043857;Privada;
11048450;Estadual;
11048670;Estadual;
11049073;Privada;
11049430;Estadual;
11050349;Estadual;3.5
11050578;Estadual;
11104805;Estadual;
11109807;Federal;
11113804;Estadual;3.7
11018089;Estadual;4.9
11018216;Estadual;4.6
11018267;Estadual;3.8
11018810;Estadual;4.3
11018950;Estadual;4.1
11009306;Estadual;4.3
11028750;Estadual;3.9
11029056;Estadual;4.7
11029110;Estadual;4.5
11029170;Estadual;5.2
11029307;Estadual;4.7
11029439;Estadual;5.1
11029455;Estadual;4.9
11029480;Estadual;4.1
11045639;Privada;
11029951;Estadual;4.5
11033215;Privada;
11033649;Estadual;3.4
11033797;Estadual;4.3
11033819;Estadual;4.2
11033835;Estadual;4.9
11041951;Privada;
11106867;Estadual;
11107804;Federal;
11022981;Estadual;4.4
11003979;Estadual;4.1
11004274;Estadual;4.5
11048247;Estadual;3.8
11049855;Estadual;3.2
11023660;Estadual;
11023678;Estadual;3.9
11024437;Estadual;4.4
11009888;Estadual;
11004428;Estadual;3.9
11039582;Estadual;4.6
11042028;Estadual;
11045914;Estadual;
11030003;Estadual;4.0
11030372;Estadual;4.9
11010290;Estadual;3.9
11004347;Estadual;3.9
11076801;Estadual;
11005041;Estadual;
11046953;Estadual;4.5
11030666;Estadual;4.1
11095806;Estadual;3.1
11106859;Estadual;
11009152;Estadual;3.5
11019115;Estadual;4.6
11019140;Estadual;4.2
11005360;Estadual;3.8
11031298;Estadual;4.0
11019948;Estadual;4.1
11019956;Privada;
11010665;Estadual;4.2
11017120;Estadual;4.0
11031689;Estadual;3.9
11035080;Estadual;3.9
11031913;Estadual;
11032189;Estadual;4.2
11031964;Estadual;
11032359;Estadual;4.1
11005475;Estadual;4.2
11024097;Estadual;4.6
11017384;Estadual;4.2
11020326;Estadual;4.1
11020504;Estadual;4.1
11008105;Estadual;3.8
11021403;Estadual;3.3
12018422;Estadual;3.6
12021768;Estadual;
12128236;Estadual;3.2
12015946;Estadual;3.8
12016284;Estadual;4.2
12017027;Estadual;4.7
12026948;Estadual;
12009369;Estadual;3.4
12009555;Estadual;
12020680;Estadual;2.9
12009725;Estadual;
12023396;Estadual;4.2
12030899;Estadual;
12000213;Estadual;
12000418;Estadual;3.7
12000450;Estadual;4.2
12000906;Estadual;
12000914;Estadual;4.0
12000930;Estadual;4.2
12000973;Estadual;
12001015;Estadual;
12001686;Privada;
12020249;Estadual;
12021962;Estadual;
12029718;Estadual;
12030937;Federal;
12033537;Estadual;5.2
12017060;Estadual;3.4
12031674;Estadual;4.3
12004120;Estadual;
12004197;Estadual;3.7
12030155;Estadual;4.0
12001791;Estadual;
12001805;Estadual;
12001945;Estadual;3.6
12002046;Estadual;4.0
12006920;Estadual;3.3
12026328;Estadual;
12010731;Estadual;3.9
12023779;Estadual;4.0
12003050;Estadual;3.4
12010928;Privada;
12010936;Privada;
12011320;Estadual;3.3
12011410;Federal;4.9
12011428;Estadual;
12011444;Estadual;3.0
12011517;Estadual;4.1
12011584;Estadual;
12012017;Estadual;4.9
12012106;Estadual;
12012181;Estadual;4.3
12012297;Estadual;
12012360;Estadual;4.5
12012556;Estadual;
12012564;Estadual;
12012580;Estadual;5.1
12012750;Estadual;4.0
12012823;Estadual;
12013013;Estadual;
12013161;Estadual;
12013242;Estadual;3.9
12013340;Estadual;4.7
12013510;Estadual;
12013595;Estadual;
12014001;Estadual;
12014052;Estadual;3.4
12014370;Privada;
12014389;Estadual;5.0
12015172;Estadual;4.4
12019054;Privada;
12021261;Privada;
12022969;Privada;
12026409;Privada;
12026530;Privada;
12027340;Estadual;
12027359;Estadual;
12027758;Estadual;4.2
12028037;Estadual;
12028843;Estadual;
12028860;Estadual;4.3
12029580;Estadual;
12030058;Privada;
12030961;Federal;
12031682;Privada;
12032093;Federal;
12032166;Estadual;
12033359;Estadual;5.2
12033367;Estadual;4.9
12033898;Estadual;
12044636;Estadual;3.8
12044822;Estadual;4.5
12052221;Estadual;3.7
12091260;Estadual;3.7
12003638;Estadual;3.7
12003760;Estadual;
12003867;Estadual;
12022004;Estadual;3.7
12028479;Estadual;3.5
12028851;Estadual;2.2
12014591;Estadual;
12014877;Estadual;
12033790;Estadual;4.2
12007412;Estadual;
12007536;Estadual;
12007617;Estadual;3.6
12030945;Federal;4.9
12005398;Estadual;3.9
12005711;Estadual;4.3
12005894;Estadual;3.6
12031755;Estadual;3.0
12032441;Federal;
12017540;Estadual;3.6
12018163;Estadual;
12030953;Federal;
12014125;Estadual;3.2
12015326;Estadual;3.4
12015334;Estadual;3.7
12015342;Estadual;4.0
13012533;Estadual;
13103610;Estadual;
13219200;Estadual;
13083309;Estadual;3.7
13099361;Estadual;
13103431;Estadual;2.3
13238213;Estadual;
13014293;Estadual;4.1
13014781;Estadual;3.3
13014803;Estadual;3.0
13103130;Estadual;2.6
13220209;Estadual;3.2
13014846;Estadual;4.0
13220250;Estadual;3.3
13059203;Estadual;3.3
13220268;Estadual;
13004956;Estadual;
13004964;Estadual;
13222210;Estadual;
13019007;Estadual;3.0
13059548;Estadual;
13103148;Estadual;2.9
13106384;Estadual;
13221205;Estadual;
13000136;Estadual;3.3
13000403;Estadual;2.9
13000411;Estadual;4.3
13220276;Estadual;
13038010;Estadual;3.3
13038680;Estadual;3.6
13038699;Estadual;3.7
13038702;Estadual;3.2
13038834;Estadual;
13038923;Estadual;
13059416;Estadual;2.8
13222228;Estadual;
13241230;Estadual;
13005081;Estadual;3.3
13093185;Estadual;
13106368;Estadual;3.8
13108956;Estadual;2.8
13252208;Estadual;2.6
13015370;Estadual;6.1
13015397;Estadual;3.4
13103156;Estadual;
13219219;Estadual;
13090259;Estadual;3.6
13219227;Estadual;
13045458;Estadual;3.3
13045660;Estadual;3.1
13045717;Estadual;3.5
13045750;Estadual;2.9
13108921;Estadual;4.4
13223216;Estadual;
13304275;Estadual;4.2
13048856;Estadual;3.6
13049640;Municipal;
13049720;Estadual;2.9
13049747;Estadual;
13094661;Municipal;
13102230;Estadual;2.7
13102249;Estadual;
13104381;Estadual;4.1
13226207;Estadual;
13257200;Estadual;
13016318;Estadual;3.4
13103440;Estadual;3.1
13223259;Estadual;
13046535;Estadual;3.6
13223208;Estadual;3.2
13008552;Estadual;3.3
13084461;Estadual;4.7
13102281;Estadual;2.6
13224220;Estadual;
13020269;Estadual;3.2
13020803;Estadual;4.2
13020811;Estadual;3.8
13107119;Estadual;3.8
13220217;Estadual;
13021010;Estadual;3.2
13021028;Estadual;3.6
13021036;Estadual;3.2
13021052;Estadual;4.0
13021354;Estadual;4.4
13021362;Estadual;3.8
13220225;Estadual;
13016776;Estadual;3.0
13016792;Estadual;
13018221;Estadual;3.3
13018302;Estadual;3.0
13059602;Estadual;3.4
13103172;Estadual;
13104390;Estadual;3.7
13116401;Federal;
13223224;Estadual;
13018396;Estadual;
13096613;Estadual;2.8
13107976;Estadual;4.2
13223232;Estadual;
13009010;Estadual;2.3
13078259;Estadual;3.0
13101153;Federal;4.8
13108484;Estadual;3.2
13055429;Estadual;3.2
13006614;Estadual;2.6
13099833;Estadual;
13103210;Estadual;
13108948;Estadual;3.7
13220314;Estadual;
13304313;Estadual;2.9
13050141;Estadual;4.1
13051172;Estadual;
13051199;Estadual;
13059262;Estadual;2.9
13101137;Federal;
13102508;Estadual;
13105833;Estadual;4.0
13260219;Estadual;
13011413;Estadual;
13087266;Estadual;2.5
13271210;Estadual;
13021630;Estadual;3.7
13021648;Estadual;3.0
13081268;Estadual;3.1
13096435;Estadual;
13101030;Estadual;4.3
13101579;Estadual;
13229214;Estadual;
13033611;Estadual;
13033620;Estadual;4.8
13035240;Estadual;3.2
13035320;Estadual;
13059599;Estadual;3.7
13059696;Estadual;3.9
13079220;Privada;
13101145;Federal;
13105329;Estadual;
13223275;Estadual;
13012096;Estadual;4.8
13035770;Estadual;3.9
13223283;Estadual;3.4
13304305;Estadual;
13003208;Estadual;
13003216;Estadual;
13095234;Estadual;5.1
13096680;Estadual;5.5
13103245;Estadual;
13238205;Estadual;
13082701;Estadual;3.3
13101064;Estadual;
13241222;Estadual;
13007203;Estadual;2.6
13102311;Estadual;2.2
13231200;Estadual;2.7
13259210;Estadual;
13063383;Estadual;3.3
13103261;Estadual;
13106376;Estadual;3.8
13220292;Estadual;
13324233;Federal;
13022644;Estadual;4.0
13022652;Estadual;3.7
13022695;Estadual;2.9
13022725;Estadual;3.7
13024205;Estadual;3.3
13024213;Estadual;3.2
13024230;Estadual;3.4
13024264;Estadual;
13102478;Federal;5.6
13102605;Estadual;5.0
13103458;Estadual;
13131850;Estadual;
13258222;Estadual;3.2
13270230;Estadual;
13024990;Estadual;3.4
13220233;Estadual;
13025082;Privada;
13025210;Privada;
13025228;Privada;
13025694;Privada;
13025724;Privada;
13025767;Estadual;3.3
13026089;Privada;
13026160;Privada;
13026194;Privada;
13026321;Privada;
13026356;Privada;
13026402;Privada;
13026429;Privada;
13026470;Estadual;4.5
13026488;Federal;
13026496;Privada;
13026500;Privada;
13026550;Estadual;3.7
13026577;Estadual;5.5
13026585;Privada;
13026631;Privada;
13026844;Federal;
13026950;Privada;
13027042;Estadual;
13027123;Estadual;3.7
13027131;Estadual;4.2
13027158;Estadual;4.3
13027255;Estadual;3.1
13027280;Estadual;4.2
13027310;Estadual;4.5
13027328;Estadual;3.9
13027344;Estadual;3.7
13027549;Estadual;4.1
13027573;Estadual;3.5
13027590;Estadual;4.2
13027620;Estadual;4.4
13027638;Estadual;4.7
13027727;Estadual;3.8
13027786;Estadual;3.4
13027930;Estadual;4.4
13027956;Estadual;3.4
13027972;Estadual;5.0
13028006;Estadual;
13028057;Estadual;3.2
13028073;Estadual;3.9
13029916;Federal;
13029967;Estadual;4.5
13029991;Estadual;4.2
13030019;Estadual;3.2
13030027;Estadual;3.6
13030094;Privada;
13030159;Estadual;4.0
13030183;Estadual;
13030221;Estadual;3.7
13030272;Estadual;3.5
13030299;Estadual;4.1
13030310;Estadual;4.0
13030353;Estadual;3.7
13030400;Estadual;4.5
13030426;Estadual;3.4
13030450;Estadual;4.6
13030469;Estadual;3.6
13030566;Estadual;5.2
13030590;Estadual;4.8
13030604;Estadual;5.1
13030680;Estadual;3.9
13030736;Estadual;3.7
13030809;Estadual;2.9
13030833;Estadual;3.8
13030884;Estadual;4.1
13030892;Estadual;3.8
13030906;Estadual;3.7
13030914;Estadual;4.7
13030965;Estadual;3.5
13030990;Estadual;3.4
13031007;Estadual;3.7
13031040;Estadual;5.3
13031058;Estadual;4.0
13031066;Estadual;3.6
13031112;Estadual;4.1
13031120;Estadual;
13031139;Estadual;3.9
13031147;Estadual;4.2
13031163;Estadual;3.8
13031198;Estadual;3.9
13031660;Privada;
13031767;Privada;
13031783;Privada;
13031791;Privada;
13031872;Privada;
13031899;Estadual;4.6
13032127;Privada;
13055216;Estadual;4.3
13064207;Privada;
13064215;Privada;
13074369;Estadual;4.0
13075098;Estadual;
13075390;Estadual;5.0
13077430;Estadual;4.5
13078615;Estadual;3.8
13079638;Estadual;4.6
13080539;Estadual;3.2
13080547;Estadual;4.0
13080563;Estadual;5.3
13080571;Estadual;3.8
13080580;Estadual;3.5
13080598;Estadual;4.0
13080911;Privada;
13082175;Estadual;
13082183;Estadual;3.7
13083295;Estadual;
13083694;Estadual;
13083724;Estadual;4.1
13083732;Estadual;4.7
13084232;Estadual;3.7
13084402;Estadual;4.1
13084445;Estadual;3.7
13084860;Estadual;4.1
13087835;Estadual;
13087843;Estadual;3.6
13090100;Privada;
13090232;Estadual;3.6
13092197;Federal;5.0
13092308;Privada;
13093070;Privada;
13093177;Estadual;3.6
13095722;Estadual;
13096583;Estadual;3.6
13096591;Estadual;5.0
13098497;Estadual;4.2
13098519;Privada;
13098527;Estadual;
13099884;Estadual;5.0
13099914;Privada;
13101048;Estadual;
13102320;Estadual;4.8
13103377;Estadual;5.6
13103385;Estadual;4.9
13103393;Estadual;4.7
13103415;Estadual;5.1
13103423;Estadual;3.2
13104110;Privada;
13104411;Estadual;4.5
13106341;Estadual;4.0
13107100;Estadual;
13107950;Estadual;4.3
13168207;Privada;
13245201;Estadual;3.8
13246208;Estadual;5.2
13258206;Estadual;
13258214;Estadual;
13260200;Estadual;3.2
13304224;Estadual;5.8
13304259;Estadual;
13304267;Estadual;4.2
13313215;Estadual;4.7
13314211;Estadual;3.8
13051407;Estadual;3.5
13052322;Estadual;
13063456;Estadual;3.6
13102494;Estadual;
13105310;Estadual;4.1
13132237;Estadual;
13264206;Estadual;
13272217;Estadual;
13004255;Estadual;2.9
13103288;Estadual;
13240200;Estadual;
13039733;Estadual;3.5
13099892;Estadual;3.0
13232207;Estadual;
13251236;Estadual;
13321234;Federal;4.7
13041541;Estadual;3.7
13103296;Estadual;
13232215;Estadual;
13304348;Estadual;4.0
13325230;Estadual;
13036211;Estadual;
13094491;Estadual;3.2
13106350;Estadual;3.8
13223291;Estadual;
13090410;Estadual;3.7
13237209;Estadual;2.9
13054015;Estadual;3.8
13073567;Estadual;3.2
13102273;Estadual;3.6
13265270;Estadual;
13041924;Estadual;4.8
13042076;Estadual;4.0
13042106;Estadual;2.8
13042149;Estadual;4.4
13043765;Estadual;5.2
13043897;Estadual;4.6
13059440;Estadual;3.7
13078054;Estadual;3.6
13102206;Estadual;3.6
13223305;Estadual;
13248200;Estadual;2.5
13254200;Estadual;
13323237;Federal;
13045938;Estadual;3.4
13046446;Estadual;2.6
13032461;Estadual;3.0
13096648;Estadual;3.8
13104420;Estadual;4.0
13125001;Estadual;3.1
13220241;Estadual;
13322230;Federal;
13032879;Privada;
13084410;Estadual;3.4
