CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1100015;Estadual;4.9
1100015;Municipal;4.0
1100015;Pública;4.7
1100023;Estadual;4.8
1100023;Municipal;4.4
1100023;Pública;4.8
1100031;Estadual;5.0
1100031;Pública;5.0
1100049;Estadual;5.0
1100049;Municipal;4.0
1100049;Pública;4.9
1100056;Estadual;5.0
1100056;Municipal;
1100056;Pública;5.0
1100064;Estadual;5.1
1100064;Municipal;
1100064;Pública;5.1
1100072;Estadual;5.5
1100072;Municipal;
1100072;Pública;5.5
1100080;Estadual;4.9
1100080;Municipal;
1100080;Pública;4.4
1100098;Estadual;5.3
1100098;Municipal;4.5
1100098;Pública;5.2
1100106;Estadual;4.6
1100106;Pública;4.6
1100114;Estadual;4.6
1100114;Municipal;
1100114;Pública;4.6
1100122;Estadual;4.8
1100122;Municipal;
1100122;Pública;4.8
1100130;Estadual;4.0
1100130;Municipal;
1100130;Pública;4.0
1100148;Estadual;5.8
1100148;Municipal;5.6
1100148;Pública;5.7
1100155;Estadual;5.2
1100155;Municipal;
1100155;Pública;5.2
1100189;Estadual;4.6
1100189;Municipal;5.0
1100189;Pública;4.6
1100205;Estadual;4.6
1100205;Municipal;
1100205;Pública;4.6
1100254;Estadual;5.2
1100254;Municipal;
1100254;Pública;5.2
1100262;Estadual;4.2
1100262;Municipal;
1100262;Pública;4.2
1100288;Estadual;5.1
1100288;Municipal;
1100288;Pública;5.1
1100296;Estadual;5.0
1100296;Municipal;5.1
1100296;Pública;4.9
1100304;Estadual;5.0
1100304;Municipal;4.5
1100304;Pública;4.9
1100320;Estadual;5.2
1100320;Municipal;5.0
1100320;Pública;5.2
1100338;Estadual;4.3
1100338;Municipal;
1100338;Pública;4.3
1100346;Estadual;4.8
1100346;Municipal;4.1
1100346;Pública;4.6
1100379;Estadual;5.5
1100379;Municipal;
1100379;Pública;4.9
1100403;Estadual;4.9
1100403;Municipal;
1100403;Pública;4.7
1100452;Estadual;4.6
1100452;Municipal;
1100452;Pública;4.6
1100502;Estadual;4.9
1100502;Municipal;
1100502;Pública;4.9
1100601;Estadual;4.3
1100601;Municipal;
1100601;Pública;4.3
1100700;Estadual;4.6
1100700;Municipal;
1100700;Pública;4.5
1100809;Estadual;4.2
1100809;Municipal;
1100809;Pública;4.1
1100908;Estadual;4.4
1100908;Pública;4.0
1100924;Estadual;4.3
1100924;Municipal;
1100924;Pública;4.2
1100940;Estadual;4.1
1100940;Municipal;4.5
1100940;Pública;4.1
1101005;Estadual;4.6
1101005;Municipal;
1101005;Pública;4.4
1101104;Estadual;3.9
1101104;Pública;3.9
1101203;Estadual;5.5
1101203;Municipal;4.7
1101203;Pública;5.0
1101302;Estadual;4.8
1101302;Municipal;
1101302;Pública;4.8
1101401;Estadual;4.6
1101401;Municipal;
1101401;Pública;4.5
1101435;Estadual;4.5
1101435;Municipal;
1101435;Pública;4.3
1101450;Estadual;4.9
1101450;Municipal;4.1
1101450;Pública;4.4
1101468;Estadual;4.1
1101468;Pública;4.1
1101476;Estadual;5.0
1101476;Pública;5.0
1101484;Estadual;4.3
1101484;Municipal;
1101484;Pública;4.3
1101492;Estadual;4.9
1101492;Municipal;
1101492;Pública;4.9
1101500;Estadual;5.0
1101500;Municipal;
1101500;Pública;5.0
1101559;Estadual;5.1
1101559;Municipal;4.1
1101559;Pública;4.6
1101609;Estadual;4.9
1101609;Pública;4.8
1101708;Estadual;4.9
1101708;Municipal;4.5
1101708;Pública;4.7
1101757;Estadual;4.5
1101757;Municipal;
1101757;Pública;4.5
1101807;Estadual;4.9
1101807;Municipal;4.0
1101807;Pública;4.5
1200013;Estadual;4.6
1200013;Municipal;
1200013;Pública;4.6
1200054;Estadual;3.3
1200054;Pública;3.3
1200104;Estadual;5.3
1200104;Pública;5.3
1200138;Estadual;3.6
1200138;Municipal;
1200138;Pública;3.7
1200179;Estadual;4.0
1200179;Municipal;
1200179;Pública;4.0
1200203;Estadual;4.9
1200203;Municipal;4.4
1200203;Pública;4.8
1200252;Estadual;5.2
1200252;Pública;5.2
1200302;Estadual;4.6
1200302;Municipal;
1200302;Pública;4.6
1200328;Estadual;4.6
1200328;Municipal;4.9
1200328;Pública;4.7
1200336;Estadual;4.3
1200336;Municipal;
1200336;Pública;4.3
1200344;Estadual;4.7
1200344;Municipal;4.2
1200344;Pública;4.5
1200351;Municipal;3.6
1200351;Pública;3.5
1200385;Estadual;4.8
