CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1100015;Estadual;5.9
1100015;Municipal;5.1
1100015;Pública;5.3
1100023;Estadual;6.1
1100023;Municipal;5.3
1100023;Pública;5.4
1100031;Estadual;
1100031;Municipal;5.8
1100031;Pública;5.8
1100049;Estadual;6.0
1100049;Municipal;5.4
1100049;Pública;5.7
1100056;Estadual;6.5
1100056;Municipal;5.6
1100056;Pública;5.8
1100064;Estadual;
1100064;Municipal;6.6
1100064;Pública;6.6
1100072;Estadual;
1100072;Municipal;5.7
1100072;Pública;5.8
1100080;Estadual;
1100080;Municipal;4.4
1100080;Pública;4.4
1100098;Estadual;5.7
1100098;Municipal;6.1
1100098;Pública;6.0
1100106;Estadual;5.6
1100106;Municipal;4.6
1100106;Pública;4.9
1100114;Estadual;5.2
1100114;Municipal;5.9
1100114;Pública;5.9
1100122;Estadual;5.6
1100122;Municipal;6.1
1100122;Pública;5.9
1100130;Estadual;
1100130;Municipal;4.9
1100130;Pública;4.9
1100148;Estadual;
1100148;Municipal;5.8
1100148;Pública;5.8
1100155;Estadual;
1100155;Municipal;5.7
1100155;Pública;5.7
1100189;Estadual;5.0
1100189;Municipal;5.7
1100189;Pública;5.7
1100205;Estadual;5.8
1100205;Municipal;5.3
1100205;Pública;5.4
1100254;Estadual;5.3
1100254;Municipal;5.3
1100254;Pública;5.3
1100262;Estadual;
1100262;Municipal;5.0
1100262;Pública;5.0
1100288;Estadual;6.9
1100288;Municipal;6.1
1100288;Pública;6.2
1100296;Estadual;
1100296;Municipal;5.6
1100296;Pública;5.6
1100304;Estadual;
1100304;Municipal;5.6
1100304;Pública;5.6
1100320;Estadual;
1100320;Municipal;5.5
1100320;Pública;5.5
1100338;Estadual;
1100338;Municipal;4.6
1100338;Pública;4.6
1100346;Estadual;5.6
1100346;Municipal;5.2
1100346;Pública;5.4
1100379;Estadual;
1100379;Municipal;5.6
1100379;Pública;5.6
1100403;Estadual;
1100403;Municipal;5.0
1100403;Pública;5.0
1100452;Estadual;
1100452;Municipal;5.4
1100452;Pública;5.4
1100502;Estadual;
1100502;Municipal;6.1
1100502;Pública;6.1
1100601;Municipal;4.7
1100601;Pública;4.7
1100700;Estadual;
1100700;Municipal;4.8
1100700;Pública;4.8
1100809;Estadual;5.0
1100809;Municipal;4.6
1100809;Pública;4.7
1100908;Estadual;
1100908;Pública;
1100924;Estadual;
1100924;Municipal;5.2
1100924;Pública;5.2
1100940;Estadual;
1100940;Municipal;4.7
1100940;Pública;4.7
1101005;Estadual;
1101005;Municipal;4.6
1101005;Pública;4.6
1101104;Estadual;
1101104;Municipal;5.6
1101104;Pública;5.6
1101203;Estadual;
1101203;Municipal;6.0
1101203;Pública;6.0
1101302;Estadual;
1101302;Municipal;5.3
1101302;Pública;5.3
1101401;Estadual;
1101401;Municipal;5.1
1101401;Pública;5.1
1101435;Estadual;
1101435;Municipal;5.7
1101435;Pública;5.7
1101450;Estadual;
1101450;Municipal;5.0
1101450;Pública;4.9
1101468;Municipal;5.6
1101468;Pública;5.6
1101476;Estadual;
1101476;Municipal;5.9
1101476;Pública;5.9
1101484;Estadual;
1101484;Municipal;5.4
1101484;Pública;5.4
1101492;Estadual;
1101492;Municipal;5.9
1101492;Pública;5.9
1101500;Estadual;
1101500;Municipal;5.2
1101500;Pública;5.2
1101559;Estadual;
1101559;Municipal;5.7
1101559;Pública;5.7
1101609;Estadual;5.8
1101609;Pública;6.0
1101708;Estadual;
