CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1100015;Estadual;4.5
1100015;Pública;4.5
1100023;Estadual;4.1
1100023;Federal;
1100023;Pública;4.2
1100031;Estadual;4.1
1100031;Pública;4.1
1100049;Estadual;3.9
1100049;Federal;5.4
1100049;Pública;4.2
1100056;Estadual;4.1
1100056;Pública;4.1
1100064;Estadual;4.3
1100064;Federal;5.1
1100064;Pública;4.7
1100072;Estadual;4.1
1100072;Pública;4.1
1100080;Estadual;4.1
1100080;Pública;4.1
1100098;Estadual;4.4
1100098;Pública;4.4
1100106;Estadual;3.9
1100106;Federal;
1100106;Pública;4.1
1100114;Estadual;4.0
1100114;Federal;
1100114;Pública;4.2
1100122;Estadual;4.1
1100122;Federal;
1100122;Pública;4.3
1100130;Estadual;3.8
1100130;Pública;3.8
1100148;Estadual;4.7
1100148;Pública;4.7
1100155;Estadual;4.3
1100155;Pública;4.3
1100189;Estadual;3.8
1100189;Pública;3.8
1100205;Estadual;3.9
1100205;Federal;
1100205;Pública;4.0
1100254;Estadual;4.4
1100254;Pública;4.4
1100262;Estadual;4.3
1100262;Pública;4.3
1100288;Estadual;4.6
1100288;Pública;4.6
1100296;Estadual;4.5
1100296;Pública;4.5
1100304;Estadual;3.9
1100304;Federal;
1100304;Pública;4.1
1100320;Estadual;4.4
1100320;Pública;4.4
1100338;Estadual;3.9
1100338;Pública;3.9
1100346;Estadual;3.9
1100346;Pública;3.9
1100379;Estadual;4.4
1100379;Pública;4.4
1100403;Estadual;
1100403;Pública;
1100452;Estadual;3.5
1100452;Pública;3.5
1100502;Estadual;4.4
1100502;Pública;4.4
1100601;Estadual;3.9
1100601;Pública;3.9
1100700;Estadual;3.9
1100700;Pública;3.9
1100809;Estadual;3.9
1100809;Pública;3.9
1100908;Estadual;4.1
1100908;Pública;4.1
1100924;Estadual;3.1
1100924;Pública;3.1
1100940;Estadual;3.5
1100940;Pública;3.5
1101005;Estadual;4.3
1101005;Pública;4.3
1101104;Estadual;3.8
1101104;Pública;3.8
1101203;Estadual;4.0
1101203;Pública;4.0
1101302;Estadual;4.1
1101302;Pública;4.1
1101401;Estadual;4.2
1101401;Pública;4.2
1101435;Estadual;4.0
1101435;Pública;4.0
1101450;Estadual;3.9
1101450;Pública;3.9
1101468;Estadual;3.9
1101468;Pública;3.9
1101476;Estadual;4.2
1101476;Pública;4.2
1101484;Estadual;3.6
1101484;Pública;3.6
1101492;Estadual;4.2
1101492;Pública;4.2
1101500;Estadual;4.6
1101500;Pública;4.6
1101559;Estadual;4.2
1101559;Pública;4.2
1101609;Estadual;4.1
1101609;Pública;4.1
1101708;Estadual;4.1
1101708;Pública;4.1
1101757;Estadual;3.8
1101757;Pública;3.8
1101807;Estadual;3.3
1101807;Pública;3.3
1200013;Estadual;3.4
1200013;Pública;3.4
1200054;Estadual;3.8
1200054;Pública;3.8
1200104;Estadual;4.3
1200104;Pública;4.3
1200138;Estadual;3.4
1200138;Pública;3.4
1200179;Estadual;3.5
1200179;Pública;3.5
1200203;Estadual;3.9
1200203;Federal;
1200203;Pública;3.9
1200252;Estadual;4.1
1200252;Pública;4.1
1200302;Estadual;3.7
1200302;Pública;3.7
1200328;Estadual;3.9
1200328;Pública;3.9
1200336;Estadual;3.5
1200336;Pública;3.5
1200344;Estadual;3.3
1200344;Pública;3.3
1200351;Estadual;3.6
1200351;Pública;3.6
1200385;Estadual;4.0
1200385;Pública;4.0
1200393;Estadual;3.5
1200393;Pública;3.5
1200401;Estadual;4.1
1200401;Federal;5.0
1200401;Pública;4.1
1200427;Estadual;3.4
1200427;Pública;3.4
1200435;Estadual;
1200435;Pública;
1200450;Estadual;4.3
1200450;Pública;4.3
1200500;Estadual;3.6
1200500;Federal;4.9
1200500;Pública;3.8
1200609;Estadual;3.5
1200609;Federal;
1200609;Pública;3.5
1200708;Estadual;3.8
1200708;Federal;
1200708;Pública;
1200807;Estadual;3.6
1200807;Pública;3.6
1300029;Estadual;2.5
1300029;Pública;2.5
1300060;Estadual;3.2
1300060;Pública;3.2
1300086;Estadual;3.1
1300086;Pública;3.1
1300102;Estadual;3.9
1300102;Pública;3.9
1300144;Estadual;3.2
1300144;Pública;3.2
1300201;Estadual;2.6
1300201;Pública;2.6
1300300;Estadual;3.1
1300300;Pública;3.1
1300409;Estadual;3.3
1300409;Pública;3.3
1300508;Estadual;3.1
1300508;Pública;3.1
1300607;Estadual;3.1
1300607;Pública;3.1
1300631;Estadual;3.8
1300631;Pública;3.8
1300680;Estadual;3.2
1300680;Pública;3.2
1300706;Estadual;3.6
1300706;Pública;3.6
1300805;Estadual;3.2
1300805;Municipal;
1300805;Pública;3.2
1300839;Estadual;3.0
1300839;Pública;3.0
1300904;Estadual;3.5
1300904;Pública;3.5
1301001;Estadual;3.2
1301001;Pública;3.2
1301100;Estadual;3.5
1301100;Pública;3.5
1301159;Estadual;3.5
1301159;Pública;3.5
1301209;Estadual;3.1
1301209;Federal;
1301209;Pública;3.3
1301308;Estadual;3.4
1301308;Pública;3.4
1301407;Estadual;3.0
1301407;Federal;4.8
1301407;Pública;3.4
1301506;Estadual;3.2
1301506;Pública;3.2
1301605;Estadual;3.3
1301605;Pública;3.3
1301654;Estadual;2.8
1301654;Pública;2.8
1301704;Estadual;3.5
1301704;Federal;
1301704;Pública;3.6
1301803;Estadual;2.8
1301803;Pública;2.8
1301852;Estadual;3.3
1301852;Pública;3.3
1301902;Estadual;3.5
1301902;Federal;
1301902;Pública;3.6
1301951;Estadual;4.8
1301951;Pública;4.8
1302009;Estadual;3.9
1302009;Pública;3.9
1302108;Estadual;3.7
1302108;Pública;3.7
1302207;Estadual;3.2
1302207;Pública;3.2
1302306;Estadual;2.6
1302306;Pública;2.6
1302405;Estadual;3.5
1302405;Federal;
1302405;Pública;3.6
1302504;Estadual;3.4
1302504;Federal;5.6
1302504;Pública;3.5
1302553;Estadual;3.2
1302553;Pública;3.2
1302603;Estadual;3.9
1302603;Federal;5.2
1302603;Pública;4.0
1302702;Estadual;3.3
1302702;Pública;3.3
1302801;Estadual;2.7
1302801;Pública;2.7
1302900;Estadual;3.1
1302900;Federal;4.7
1302900;Pública;3.4
1303007;Estadual;3.6
1303007;Pública;3.6
1303106;Estadual;3.1
1303106;Pública;3.1
1303205;Estadual;3.6
1303205;Pública;3.6
1303304;Estadual;3.3
1303304;Pública;3.3
1303403;Estadual;3.8
1303403;Federal;
1303403;Pública;3.9
1303502;Estadual;3.2
1303502;Pública;3.2
1303536;Estadual;3.3
1303536;Federal;
1303536;Pública;3.6
1303569;Estadual;3.3
1303569;Pública;3.3
1303601;Estadual;3.2
1303601;Pública;3.2
1303700;Estadual;2.9
1303700;Pública;2.9
1303809;Estadual;
1303809;Federal;
1303809;Pública;
1303908;Estadual;2.8
1303908;Pública;2.8
1303957;Estadual;3.4
1303957;Pública;3.4
1304005;Estadual;3.4
1304005;Pública;3.4
1304062;Estadual;2.8
1304062;Federal;
1304062;Pública;3.0
1304104;Estadual;3.5
1304104;Pública;3.5
1304203;Estadual;3.2
1304203;Federal;
1304203;Pública;3.3
1304237;Estadual;3.0
1304237;Pública;3.0
1304260;Estadual;2.7
1304260;Pública;2.7
1304302;Estadual;3.5
1304302;Pública;3.5
1304401;Estadual;3.4
1304401;Pública;3.4
1400027;Estadual;2.6
1400027;Federal;3.6
1400027;Pública;2.9
1400050;Estadual;3.4
1400050;Pública;3.4
1400100;Estadual;3.6
1400100;Federal;4.8
1400100;Pública;3.7
1400159;Estadual;3.1
1400159;Pública;3.1
1400175;Estadual;3.1
1400175;Pública;3.1
1400209;Estadual;3.7
1400209;Federal;
1400209;Pública;3.8
1400233;Estadual;
1400233;Pública;
1400282;Estadual;3.6
1400282;Pública;3.6
1400308;Estadual;3.8
1400308;Pública;3.8
1400407;Estadual;2.9
1400407;Pública;2.9
1400456;Estadual;3.4
1400456;Pública;3.4
1400472;Estadual;3.4
1400472;Pública;3.4
1400506;Estadual;2.8
1400506;Pública;2.8
1400605;Estadual;
1400605;Pública;
1400704;Estadual;2.7
1400704;Pública;2.7
1500107;Estadual;4.1
1500107;Federal;
1500107;Pública;4.2
1500131;Estadual;3.9
1500131;Pública;3.9
1500206;Estadual;3.7
1500206;Pública;3.7
1500305;Estadual;4.0
1500305;Pública;4.0
1500347;Estadual;4.3
1500347;Pública;4.3
1500404;Estadual;3.9
1500404;Pública;3.9
1500503;Estadual;3.8
1500503;Pública;3.8
1500602;Estadual;4.7
1500602;Federal;
1500602;Pública;4.7
1500701;Estadual;3.4
1500701;Pública;3.4
1500800;Estadual;4.4
1500800;Federal;
1500800;Pública;4.4
1500859;Estadual;4.2
1500859;Pública;4.2
1500909;Estadual;3.9
1500909;Pública;3.9
1500958;Estadual;4.1
1500958;Pública;4.1
1501006;Estadual;3.5
1501006;Pública;3.5
1501105;Estadual;3.6
1501105;Pública;3.6
1501204;Estadual;3.7
1501204;Pública;3.7
1501253;Estadual;3.5
1501253;Pública;3.5
1501303;Estadual;4.2
1501303;Pública;4.2
1501402;Estadual;4.4
1501402;Federal;5.3
1501402;Municipal;4.5
1501402;Pública;4.5
1501451;Estadual;4.1
1501451;Pública;4.1
1501501;Estadual;4.5
1501501;Pública;4.5
1501576;Estadual;4.6
1501576;Pública;4.6
1501600;Estadual;3.6
1501600;Pública;3.6
1501709;Estadual;3.9
1501709;Federal;4.3
1501709;Pública;4.0
