SG_UF;REDE;VL_OBSERVADO_2023
Norte;Total;4.6
Norte;Pública;4.4
Norte;Privada;6.0
Norte;Estadual;4.7
Rondônia;Total (3)(4);4.8
Rondônia;Pública (4);4.7
Rondônia;Privada (2);6.1
Rondônia;Estadual;4.7
Acre;Total (3)(4);4.8
Acre;Pública (4);4.7
Acre;Privada (2);6.6
Acre;Estadual;4.7
Amazonas;Total (3)(4);4.8
Amazonas;Pública (4);4.7
Amazonas;Privada (2);6.1
Amazonas;Estadual;4.8
Roraima;Total (3)(4);4.3
Roraima;Pública (4);4.2
Roraima;Privada (2);5.9
Roraima;Estadual;4.2
Pará;Total (3)(4);4.4
Pará;Pública (4);4.2
Pará;Privada (2);5.8
Pará;Estadual;4.8
Amapá;Total (3)(4);4.3
Amapá;Pública (4);4.1
Amapá;Privada (2);6.1
Amapá;Estadual;4.1
Tocantins;Total (3)(4);4.9
Tocantins;Pública (4);4.8
Tocantins;Privada (2);6.3
Tocantins;Estadual;4.7
Nordeste;Total;4.7
Nordeste;Pública;4.4
Nordeste;Privada;6.1
Nordeste;Estadual;4.4
Maranhão;Total (4);4.5
Maranhão;Pública (4);4.3
Maranhão;Privada;5.9
Maranhão;Estadual;4.8
Piauí;Total (4);5.2
Piauí;Pública (4);4.9
Piauí;Privada;6.4
Piauí;Estadual;5.2
Ceará;Total (4);5.5
Ceará;Pública (4);5.4
Ceará;Privada;6.1
Ceará;Estadual;5.3
R. G. do Norte;Total (4);4.1
R. G. do Norte;Pública (4);3.7
R. G. do Norte;Privada;6.0
R. G. do Norte;Estadual;3.7
Paraíba;Total (4);4.5
Paraíba;Pública (4);4.2
Paraíba;Privada;6.1
Paraíba;Estadual;3.9
Pernambuco;Total (4);5.0
Pernambuco;Pública (4);4.7
Pernambuco;Privada;6.2
Pernambuco;Estadual;4.9
Alagoas;Total (4);5.0
Alagoas;Pública (4);4.8
Alagoas;Privada;5.9
Alagoas;Estadual;4.6
Sergipe;Total (4);4.4
Sergipe;Pública (4);4.0
Sergipe;Privada;5.8
Sergipe;Estadual;4.2
Bahia;Total (4);4.2
Bahia;Pública (4);3.9
Bahia;Privada;6.0
Bahia;Estadual;4.0
Sudeste;Total;5.2
Sudeste;Pública;4.9
Sudeste;Privada;6.5
Sudeste;Estadual;4.9
Minas Gerais;Total (4);4.9
Minas Gerais;Pública (4);4.7
Minas Gerais;Privada;6.8
Minas Gerais;Estadual;4.6
Espírito Santo;Total (4);5.3
Espírito Santo;Pública (4);5.0
Espírito Santo;Privada;6.7
Espírito Santo;Estadual;5.3
Rio de Janeiro;Total (4);4.9
Rio de Janeiro;Pública (4);4.5
Rio de Janeiro;Privada;6.2
Rio de Janeiro;Estadual;3.8
São Paulo;Total (4);5.4
São Paulo;Pública (4);5.1
São Paulo;Privada;6.5
São Paulo;Estadual;5.1
Sul;Total;5.2
Sul;Pública;5.0
Sul;Privada;6.5
Sul;Estadual;5.1
Paraná;Total (4);5.5
Paraná;Pública (4);5.4
Paraná;Privada;6.4
Paraná;Estadual;5.4
Santa Catarina;Total (4);5.2
Santa Catarina;Pública (4);4.9
Santa Catarina;Privada;6.8
Santa Catarina;Estadual;4.6
R. G. do Sul;Total (4);4.9
R. G. do Sul;Pública (4);4.7
R. G. do Sul;Privada;6.5
R. G. do Sul;Estadual;4.7
Centro-Oeste;Total;5.2
Centro-Oeste;Pública;5.0
Centro-Oeste;Privada;6.3
Centro-Oeste;Estadual;5.0
M. G. do Sul;Total (4);4.8
M. G. do Sul;Pública (4);4.6
M. G. do Sul;Privada;6.4
M. G. do Sul;Estadual;4.6
Mato Grosso;Total (4);4.9
Mato Grosso;Pública (4);4.8
Mato Grosso;Privada;6.2
Mato Grosso;Estadual;4.8
Goiás;Total (4);5.5
Goiás;Pública (4);5.4
Goiás;Privada;6.3
Goiás;Estadual;5.5
Distrito Federal;Total (4);5.0
Distrito Federal;Pública (4);4.6
Distrito Federal;Privada;6.3
Distrito Federal;Estadual;4.6
