SG_UF;REDE;VL_OBSERVADO_2023
Norte;Total;5.2
Norte;Pública;5.2
Norte;Privada (1);6.9
Norte;Estadual;5.8
Rondônia;Total (3)(4);5.6
Rondônia;Pública (4);5.5
Rondônia;Privada (2);6.7
Rondônia;Estadual;5.8
Acre;Total (3)(4);5.8
Acre;Pública (4);5.7
Acre;Privada (2);7.1
Acre;Estadual;6.1
Amazonas;Total (3)(4);5.7
Amazonas;Pública (4);5.6
Amazonas;Privada (2);7.1
Amazonas;Estadual;5.9
Roraima;Total (3)(4);5.5
Roraima;Pública (4);5.4
Roraima;Privada (2);6.9
Roraima;Estadual;
Pará;Total (3)(4);5.1
Pará;Pública (4);4.8
Pará;Privada (2);6.8
Pará;Estadual;5.7
Amapá;Total (3)(4);5.0
Amapá;Pública (4);4.8
Amapá;Privada (2);6.9
Amapá;Estadual;4.8
Tocantins;Total (3)(4);5.6
Tocantins;Pública (4);5.4
Tocantins;Privada (2);7.0
Tocantins;Estadual;6.2
Nordeste;Total;5.6
Nordeste;Pública;5.4
Nordeste;Privada (1);6.8
Nordeste;Estadual;5.2
Maranhão;Total (4);5.4
Maranhão;Pública (4);5.1
Maranhão;Privada;6.6
Maranhão;Estadual;4.1
Piauí;Total (4);5.9
Piauí;Pública (4);5.7
Piauí;Privada;7.1
Piauí;Estadual;6.4
Ceará;Total (4);6.6
Ceará;Pública (4);6.5
Ceará;Privada;6.9
Ceará;Estadual;7.7
R. G. do Norte;Total (4);5.3
R. G. do Norte;Pública (4);4.8
R. G. do Norte;Privada;6.8
R. G. do Norte;Estadual;5.0
Paraíba;Total (4);5.7
Paraíba;Pública (4);5.3
Paraíba;Privada;6.8
Paraíba;Estadual;5.2
Pernambuco;Total (4);5.7
Pernambuco;Pública (4);5.3
Pernambuco;Privada;6.8
Pernambuco;Estadual;6.2
Alagoas;Total (4);6.0
Alagoas;Pública (4);5.7
Alagoas;Privada;6.8
Alagoas;Estadual;5.5
Sergipe;Total (4);5.4
Sergipe;Pública (4);4.9
Sergipe;Privada;6.7
Sergipe;Estadual;5.3
Bahia;Total (4);5.3
Bahia;Pública (4);4.9
Bahia;Privada;6.7
Bahia;Estadual;5.1
Sudeste;Total;6.3
Sudeste;Pública;6.0
Sudeste;Privada (1);7.4
Sudeste;Estadual;6.2
Minas Gerais;Total (4);6.3
Minas Gerais;Pública (4);6.1
Minas Gerais;Privada;7.8
Minas Gerais;Estadual;6.2
Espírito Santo;Total (4);6.3
Espírito Santo;Pública (4);6.1
Espírito Santo;Privada;7.6
Espírito Santo;Estadual;6.4
Rio de Janeiro;Total (4);5.9
Rio de Janeiro;Pública (4);5.5
Rio de Janeiro;Privada;7.1
Rio de Janeiro;Estadual;5.8
São Paulo;Total (4);6.5
São Paulo;Pública (4);6.2
São Paulo;Privada;7.4
São Paulo;Estadual;6.2
Sul;Total;6.4
Sul;Pública;6.2
Sul;Privada (1);7.6
Sul;Estadual;5.8
Paraná;Total (4);6.7
Paraná;Pública (4);6.5
Paraná;Privada;7.6
Paraná;Estadual;7.1
Santa Catarina;Total (4);6.4
Santa Catarina;Pública (4);6.2
Santa Catarina;Privada;7.8
Santa Catarina;Estadual;5.8
R. G. do Sul;Total (4);6.0
R. G. do Sul;Pública (4);5.8
R. G. do Sul;Privada;7.5
R. G. do Sul;Estadual;5.8
Centro-Oeste;Total;6.1
Centro-Oeste;Pública;5.9
Centro-Oeste;Privada (1);7.3
Centro-Oeste;Estadual;5.8
M. G. do Sul;Total (4);5.6
M. G. do Sul;Pública (4);5.3
M. G. do Sul;Privada;7.3
M. G. do Sul;Estadual;5.4
Mato Grosso;Total (4);6.0
Mato Grosso;Pública (4);5.8
Mato Grosso;Privada;7.3
Mato Grosso;Estadual;5.7
Goiás;Total (4);6.3
Goiás;Pública (4);6.1
Goiás;Privada;7.1
Goiás;Estadual;6.7
Distrito Federal;Total (4);6.4
Distrito Federal;Pública (4);5.9
Distrito Federal;Privada;7.7
Distrito Federal;Estadual;5.9
